Date,Time,Temperature (F),Wind Speed (mph),Wind Direction,Max Wind Gust (mph),Avg Solar Rad (Cal/cm2/min),Avg Quantum (uE/sec/m2),Water Temp (F),Rainfall (In)
10/23/15,16:00:00,26.1,10.66,346,15.56,0.637,773,27.5,0
10/23/15,17:00:00,26,9.79,344,13.28,0.325,434,27.8,0
10/23/15,18:00:00,25.9,9.51,332,13.39,0.026,76,27.7,0
10/23/15,19:00:00,25.9,11.61,342,15.59,0,0,27.6,0
10/23/15,20:00:00,25.8,9.36,339,16.16,0,0,27.6,0
10/23/15,21:00:00,25.9,12.22,351,18.22,0,0,27.5,0
10/23/15,22:00:00,24.7,7.91,358,18.11,0,0,27.1,0
10/23/15,23:00:00,25.8,14.09,1,19.71,0,0,27,0
10/23/15,24:00:00,25.8,13.03,3,16.26,0,0,27,0
10/24/15,1:00:00,25.6,12.23,5,15.61,0,0,27.1,0
10/24/15,2:00:00,25.7,10.65,8,14.51,0,0,27,0
10/24/15,3:00:00,25.6,10.82,3,14.36,0,0,27,0
10/24/15,4:00:00,25.6,9.37,0,12.3,0,0,27,0
10/24/15,5:00:00,25.5,9.39,355,12.67,0,0,27.1,0
10/24/15,6:00:00,25.5,7.35,357,10.81,0,0,26.9,0
10/24/15,7:00:00,25.4,5.93,0,8.31,0,11,26.1,0
10/24/15,8:00:00,25.6,6.96,353,9.12,0.164,248,25.8,0
10/24/15,9:00:00,25.8,7.1,345,10.46,0.325,445,25.8,0
10/24/15,10:00:00,25.9,7.69,347,10.72,0.776,925,26.6,0
10/24/15,11:00:00,25.9,7.45,343,10.35,0.902,1062,26.8,0
10/24/15,12:00:00,26,9.27,350,11.9,1.21,1378,26.9,0
10/24/15,13:00:00,26,8.23,349,10.96,1.274,1444,27,0
10/24/15,14:00:00,26,7.75,348,10.98,1,1167,27.1,0
10/24/15,15:00:00,25.9,9.04,353,11.64,0.414,556,27.2,0
10/24/15,16:00:00,25.9,8.78,347,12.76,0.162,274,27.3,0
10/24/15,17:00:00,25.9,7.22,343,10.35,0.056,146,27.4,0
10/24/15,18:00:00,25.8,6.59,348,9.73,0,42,27.4,0
10/24/15,19:00:00,25.7,7.07,337,10.26,0,0,27.2,0
10/24/15,20:00:00,25.2,3.28,306,9.56,0,0,27,0
10/24/15,21:00:00,25.3,3.52,308,9.75,0,0,26.7,0
10/24/15,22:00:00,24.4,1.22,216,3.42,0,0,26.7,0
10/24/15,23:00:00,24.1,1.69,220,3.81,0,0,27.1,0
10/24/15,24:00:00,23.7,1.8,224,3.75,0,0,27.1,0
10/25/15,1:00:00,23.7,1.85,203,3.97,0,0,27.1,0
10/25/15,2:00:00,23.5,2.45,219,5,0,0,27.1,0
10/25/15,3:00:00,23.2,1.41,230,3.53,0,0,27.1,0
10/25/15,4:00:00,23,1.16,236,2.78,0,0,27.1,0
10/25/15,5:00:00,23,1.28,226,2.54,0,0,27.1,0
10/25/15,6:00:00,22.8,2.43,228,3.95,0,0,26.9,0
10/25/15,7:00:00,23.2,1.41,208,3.97,0,15,26.6,0
10/25/15,8:00:00,25.4,1.55,193,3.75,0.19,274,26.6,0
10/25/15,9:00:00,26.4,2.17,334,5.35,0.532,656,26.7,0
10/25/15,10:00:00,25.7,3.47,355,5.94,0.829,975,26.9,0
10/25/15,11:00:00,25.8,5.11,346,7.83,1.058,1218,27,0
10/25/15,12:00:00,25.8,8.06,346,9.73,1.193,1362,27.1,0
10/25/15,13:00:00,26,7.7,346,9.62,1.234,1408,27.2,0
10/25/15,14:00:00,26.1,7.75,346,10.46,1.165,1336,27.3,0
10/25/15,15:00:00,26,7.99,349,11.14,0.949,1112,27.3,0
10/25/15,16:00:00,26.2,10.83,343,13.98,0.431,567,27.3,0
10/25/15,17:00:00,26.6,13.71,341,16.97,0.31,419,27.5,0
10/25/15,18:00:00,26.5,17.08,335,21.15,0.048,93,27.6,0
10/25/15,19:00:00,26.3,11.53,329,16.31,0,0,27.3,0
10/25/15,20:00:00,25.9,4.38,311,14.49,0,0,27.2,0
10/25/15,21:00:00,25.5,1.08,276,5.55,0,0,27.4,0
10/25/15,22:00:00,25.3,0.76,230,2.32,0,0,27.5,0
10/25/15,23:00:00,25.3,0.89,263,4.95,0,0,27.4,0
10/25/15,24:00:00,25.4,2.77,302,8.07,0,0,27.3,0
10/26/15,1:00:00,24.7,1.36,216,3.97,0,0,27.3,0
10/26/15,2:00:00,24.8,1.24,207,2.85,0,0,27.3,0
10/26/15,3:00:00,25,1.02,205,3.64,0,0,27.2,0
10/26/15,4:00:00,24.8,0.97,219,3.05,0,0,27.2,0
10/26/15,5:00:00,24.8,1.84,286,8.75,0,0,27.2,0
10/26/15,6:00:00,24.6,0.63,245,2.85,0,0,27.1,0
10/26/15,7:00:00,24.6,0.94,213,2.83,0,14,27,0
10/26/15,8:00:00,25.5,1.2,220,3.38,0.072,156,27,0
10/26/15,9:00:00,26.1,3.4,321,7.37,0.389,506,27,0
10/26/15,10:00:00,26.1,8.08,344,12.01,0.69,826,27.1,0
10/26/15,11:00:00,26.2,8.5,348,10.87,1.069,1215,27.2,0
10/26/15,12:00:00,26.3,7.68,343,10.41,1.115,1268,27.3,0
10/26/15,13:00:00,26.3,7.56,341,10.5,1.281,1434,27.4,0
10/26/15,14:00:00,26.3,7.46,341,11.38,1.189,1344,27.4,0
10/26/15,15:00:00,26.3,9.55,345,13.04,0.884,1030,27.6,0
10/26/15,16:00:00,26.3,10.17,347,13.39,0.585,714,28.1,0
10/26/15,17:00:00,26.3,9.33,345,12.45,0.262,365,28.4,0
10/26/15,18:00:00,25.8,12.41,352,17.54,0.01,51,28.4,0
10/26/15,19:00:00,25.7,13.97,2,20.67,0,0,28.2,0
10/26/15,20:00:00,24.9,13.65,8,20.43,0,0,27.6,0
10/26/15,21:00:00,24.9,14.1,17,21.81,0,0,27.5,0.01
10/26/15,22:00:00,24.6,11.82,26,22.4,0,0,27.5,0.13
10/26/15,23:00:00,25.1,15.17,16,21.13,0,0,27.5,0
10/26/15,24:00:00,25.7,16.19,16,23.87,0,0,27.2,0
10/27/15,1:00:00,26,16.48,17,21.77,0,0,26.8,0
10/27/15,2:00:00,25.9,16.91,18,20.8,0,0,26.6,0
10/27/15,3:00:00,25.7,16.28,12,20.21,0,0,26.7,0
10/27/15,4:00:00,25.7,15.77,13,19.93,0,0,26.7,0
10/27/15,5:00:00,25.7,13.92,12,17.4,0,0,26.6,0
10/27/15,6:00:00,25.9,13.6,18,17.03,0,0,26.7,0
10/27/15,7:00:00,25.8,15.11,22,19.51,0,2,26.4,0
10/27/15,8:00:00,25.9,15.74,24,20.56,0.002,62,26.3,0
10/27/15,9:00:00,25.9,18.26,24,23.17,0.082,173,26.3,0
10/27/15,10:00:00,26,17.59,26,22.53,0.299,422,26.2,0
10/27/15,11:00:00,26.1,17.06,30,21.44,0.497,635,26.3,0
10/27/15,12:00:00,26.2,17.52,31,22.1,0.735,882,26.5,0
10/27/15,13:00:00,26.3,15.9,35,21.85,0.978,1133,26.7,0
10/27/15,14:00:00,26.2,17.93,23,23.41,0.997,1150,26.9,0
10/27/15,15:00:00,26.3,18.1,29,22.53,0.905,1053,27.1,0
10/27/15,16:00:00,26.3,16.3,32,21.83,0.559,686,27.2,0
10/27/15,17:00:00,26.2,16.58,23,22.12,0.277,375,27.3,0
10/27/15,18:00:00,26.1,14.85,27,22.34,0.013,44,27.2,0
10/27/15,19:00:00,25.5,14.43,32,22.71,0,0,27,0
10/27/15,20:00:00,25.4,14.58,43,22.01,0,0,26.8,0.03
10/27/15,21:00:00,26,15.92,35,22.1,0,0,26.5,0
10/27/15,22:00:00,26,12.55,33,18.54,0,0,26.4,0
10/27/15,23:00:00,25.8,13.35,30,20.39,0,0,26.3,0
10/27/15,24:00:00,26,12.1,35,17.43,0,0,25.8,0
10/28/15,1:00:00,26.1,13.21,45,19.44,0,0,25.9,0
10/28/15,2:00:00,26.1,13.72,59,19.29,0,0,26.2,0
10/28/15,3:00:00,26,12.23,52,17.32,0,0,26.2,0
10/28/15,4:00:00,25.9,12.73,45,20.74,0,0,26.2,0
10/28/15,5:00:00,25.9,12.58,37,18.87,0,0,26.5,0
10/28/15,6:00:00,25.9,11.51,37,18.26,0,0,26.7,0
10/28/15,7:00:00,25.9,12.72,34,16.68,0,8,26.3,0
10/28/15,8:00:00,26,13.01,32,17.16,0.09,166,25.6,0
10/28/15,9:00:00,26.1,13.23,30,18.15,0.284,393,25.6,0
10/28/15,10:00:00,26.5,12.24,29,16.66,0.767,898,25.8,0
10/28/15,11:00:00,26.3,12.32,31,17.54,0.548,689,26.3,0
10/28/15,12:00:00,26.3,10.83,27,16.94,0.427,568,26.5,0
10/28/15,13:00:00,26.3,11.13,25,15.39,0.398,541,26.7,0
10/28/15,14:00:00,26.5,10.15,27,14.93,0.359,496,26.8,0
10/28/15,15:00:00,26.4,13.79,29,18.17,0.428,563,26.8,0
10/28/15,16:00:00,26.4,13.65,38,18.43,0.265,385,26.4,0
10/28/15,17:00:00,26.4,11.67,44,19.33,0.072,175,26.4,0
10/28/15,18:00:00,26.3,11.37,38,16.18,0,30,26.5,0
10/28/15,19:00:00,26.2,11.19,43,16.62,0,0,26.6,0
10/28/15,20:00:00,26.3,11.56,51,17.89,0,0,26.5,0
10/28/15,21:00:00,25.9,10.46,52,16.72,0,0,26.2,0
10/28/15,22:00:00,26.1,8.58,60,11.84,0,0,26.5,0
10/28/15,23:00:00,26,8.4,51,12.01,0,0,26.7,0
10/28/15,24:00:00,25.9,6.85,28,9.89,0,0,27,0
10/29/15,1:00:00,25.7,4.81,17,10.94,0,0,27,0
10/29/15,2:00:00,24.2,4.32,198,11,0,0,27,0.29
10/29/15,3:00:00,23,2.93,228,6.44,0,0,26.8,0.11
10/29/15,4:00:00,23.2,3.66,285,9.84,0,0,26.8,0.01
10/29/15,5:00:00,23,1.68,249,4.23,0,0,26.8,0
10/29/15,6:00:00,23.1,0.96,204,5.39,0,0,26.6,0
10/29/15,7:00:00,22.9,1.41,211,3.48,0,12,26.7,0
10/29/15,8:00:00,24.5,1.35,232,3.86,0.166,235,26.6,0
10/29/15,9:00:00,27.3,0.71,186,3.62,0.498,611,26.5,0
10/29/15,10:00:00,27.4,1.75,37,3.24,0.819,949,26.5,0
10/29/15,11:00:00,27.1,3.38,345,4.95,1.057,1197,26.6,0
10/29/15,12:00:00,27.2,5.05,338,6.84,1.191,1340,26.6,0
10/29/15,13:00:00,27.2,6.76,3,9.38,1.207,1355,26.7,0
10/29/15,14:00:00,27.3,5.65,43,9.14,0.803,944,26.8,0
10/29/15,15:00:00,27.1,5.29,335,7.37,0.712,844,26.9,0
10/29/15,16:00:00,27,5.09,347,7.26,0.198,313,27.1,0
10/29/15,17:00:00,27,3.91,0,5.85,0.067,161,28,0
10/29/15,18:00:00,27,1.6,81,3.97,0.003,46,27.8,0
10/29/15,19:00:00,26.1,0.48,260,2.61,0,0,27.5,0
10/29/15,20:00:00,25.5,1.21,218,2.57,0,0,27.7,0
10/29/15,21:00:00,25.4,1.03,212,3.22,0,0,27.1,0
10/29/15,22:00:00,25.2,1.41,217,3.75,0,0,27,0
10/29/15,23:00:00,25.1,0.9,236,2.78,0,0,26.9,0
10/29/15,24:00:00,25,1.56,230,4.93,0,0,26.9,0
10/30/15,1:00:00,25.3,3.88,89,8.44,0,0,26.9,0.01
10/30/15,2:00:00,24.8,1.74,230,3.57,0,0,26.9,0.01
10/30/15,3:00:00,24.9,1.1,239,3.48,0,0,26.9,0
10/30/15,4:00:00,24.9,1.01,206,3.38,0,0,26.9,0
10/30/15,5:00:00,24.7,1.28,213,2.83,0,0,26.9,0
10/30/15,6:00:00,24.5,1.61,210,2.87,0,0,26.9,0
10/30/15,7:00:00,24.5,1.23,215,3.64,0,9,26.8,0
10/30/15,8:00:00,26.1,1.19,184,3.55,0.152,226,26.9,0
10/30/15,9:00:00,27.7,1.26,138,3.05,0.471,587,26.9,0
10/30/15,10:00:00,27.9,2.29,61,9.01,0.657,798,26.9,0
10/30/15,11:00:00,27.5,6.63,72,8.94,1.052,1210,27,0
10/30/15,12:00:00,27.5,7.5,67,10.15,1.145,1309,27.3,0
10/30/15,13:00:00,27.7,6.33,75,9.75,1.268,1435,27.3,0
10/30/15,14:00:00,27.9,4.87,62,7.47,1.036,1194,27.4,0
10/30/15,15:00:00,27.8,5.69,52,8.24,0.907,1062,27.8,0
10/30/15,16:00:00,27.4,6.53,24,9.1,0.146,261,28,0
10/30/15,17:00:00,27.2,7.01,58,9.89,0.014,101,28.1,0
10/30/15,18:00:00,27,6.89,30,9.8,0,33,28.3,0
10/30/15,19:00:00,26.8,5.79,49,8.64,0,0,28.5,0
10/30/15,20:00:00,26.9,5.05,45,8.07,0,0,28.3,0
10/30/15,21:00:00,26.6,7.25,27,11.14,0,0,28,0
10/30/15,22:00:00,26.7,4.61,48,9.49,0,0,27.8,0
10/30/15,23:00:00,26.9,5.28,49,8.86,0,0,27.6,0
